V	uW
0.0	211.121907
0.05	22.4543473
0.1	8.45722207
0.15	4.95798349
0.2	4.95798349
0.25	4.95798349
0.3	4.84241855
0.35	9.03912041
0.4	15.0260348
0.45	23.6542128
0.5	35.2465031
0.55	52.3561321
0.6	73.0237807
0.65	97.6744705
0.7	129.192093
0.75	176.672373
0.8	218.874164
0.85	272.638921
0.9	335.061166
0.95	413.272413
1.0	494.44777
1.05	584.838213
1.1	684.267783
1.15	795.113505
1.2	929.055735
1.25	1062.88062
1.3	1209.85322
1.35	1412.52892
1.4	1563.28839
1.45	1738.25026
1.5	1924.00208
1.55	2121.41755
1.6	2345.66093
1.65	2556.49048
1.7	2767.02852
1.75	2972.31763
1.8	3193.93631
1.85	3389.01882
1.9	3573.89566
1.95	3752.6486
2.0	3943.64912
2.05	4119.48562
2.1	4295.90652
2.15	4473.78447
2.2	4643.49752
2.25	4814.66902
2.3	4959.01285
2.35	5080.90388
2.4	5176.84082
2.45	5255.86586
2.5	5306.31328
2.55	5348.30382
2.6	5382.42189
2.65	5408.66563
2.7	5419.1635
2.75	5424.99591
2.8	5428.20338
2.85	5441.61722
2.9	5464.65348
2.95	5494.10563
3.0	5530.26423
3.05	5565.54878
3.1	5599.66639
3.15	5632.61798
3.2	5663.81915
3.25	5690.93786
3.3	5716.89103
3.35	5738.1778
3.4	5757.71555
3.45	5778.71129
3.5	5794.45809
3.55	5804.95503
3.6	5814.28641
3.65	5818.36887
3.7	5813.70341
3.75	5804.66352
3.8	5792.70814
3.85	5781.62679
3.9	5776.66983
3.95	5772.0039
4.0	5774.62884
4.05	5781.62679
4.1	5789.7917
4.15	5800.58107
4.2	5808.45494
4.25	5814.28641
4.3	5819.82732
4.35	5828.57523
4.4	5832.36571
4.45	5840.53108
4.5	5847.23754
4.55	5851.90346
4.6	5859.77733
4.65	5868.23327
4.7	5877.85663
4.75	5891.85348
4.8	5903.80887
4.85	5914.59824
4.9	5921.88863
4.95	5924.22113
5.0	5923.63812
5.05	5925.97108
5.1	5925.97108
5.15	5924.8046
5.2	5923.34615
5.25	5920.43065
5.3	5916.6397
5.35	5913.72326
5.4	5912.55678
5.45	5912.84828
5.5	5910.22428
5.55	5904.97535
5.6	5898.26889
5.65	5892.43649
5.7	5891.27
5.75	5891.56197
5.8	5888.93704
5.85	5889.52005
5.9	5888.3545
5.95	5882.8136
6.0	5873.48221
6.05	5858.31888
6.1	5840.53108
6.15	5821.86878
6.2	5800.87304
6.25	5779.87777
6.3	5759.75701
6.35	5739.05278
6.4	5716.89103
6.45	5684.81488
6.5	5648.65535
6.55	5620.95316
6.6	5609.58125
6.65	5612.20525
6.7	5617.45418
6.75	5615.9962
6.8	5609.58125
6.85	5598.79141
6.9	5585.96104
6.95	5575.75515
7.0	5563.21582
