V	uW
0.0	110.226953
0.05	15.7473442
0.1	5.83292149
0.15	4.66650908
0.2	2.62515778
0.25	0.704411093
0.3	0.616381158
0.35	0.557687372
0.4	0.616381158
0.45	0.616381158
0.5	0.498993586
0.55	0.462679878
0.6	0.468536939
0.65	0.453895666
0.7	0.468536939
0.75	0.462679878
0.8	0.462679878
0.85	0.451218767
0.9	0.451218767
0.95	0.44886724
1.0	0.450630893
1.05	0.447985343
1.1	0.447985343
1.15	0.444959824
1.2	0.446883291
1.25	0.450671195
1.3	0.466029945
1.35	0.525363873
1.4	0.741866018
1.45	1.37364714
1.5	2.7276003
1.55	5.69418626
1.6	12.397225
1.65	25.8718064
1.7	47.6088062
1.75	83.9201093
1.8	149.144369
1.85	210.715545
1.9	284.847512
1.95	371.892384
2.0	486.05437
2.05	610.223855
2.1	760.072493
2.15	943.964347
2.2	1162.72108
2.25	1480.47286
2.3	1714.92202
2.35	1982.03116
2.4	2249.4318
2.45	2536.36972
2.5	2785.39932
2.55	3019.55733
2.6	3234.17736
2.65	3441.50746
2.7	3603.05607
2.75	3739.81823
2.8	3851.5022
2.85	3956.77146
2.9	4035.79557
2.95	4098.49081
3.0	4145.43878
3.05	4183.93081
3.1	4215.42348
3.15	4236.71026
3.2	4251.29058
3.25	4262.37192
3.3	4272.57828
3.35	4276.95224
3.4	4281.03423
3.45	4281.90921
3.5	4281.03423
3.55	4280.15972
3.6	4279.57624
3.65	4278.9937
3.7	4278.11872
3.75	4278.11872
3.8	4278.41023
3.85	4277.53525
3.9	4276.66027
3.95	4274.61881
4.0	4271.70331
4.05	4268.49583
4.1	4263.82991
4.15	4257.99796
4.2	4254.79049
4.25	4249.24958
4.3	4246.62512
4.35	4246.04164
4.4	4243.12614
4.45	4241.08515
4.5	4240.21017
4.55	4237.58524
4.6	4234.96123
4.65	4229.7123
4.7	4222.71341
4.75	4215.71545
4.8	4206.96707
4.85	4194.71972
4.9	4180.1394
4.95	4164.68503
5.0	4147.47978
5.05	4131.44194
5.1	4113.94518
5.15	4097.03236
5.2	4077.49508
5.25	4055.9168
5.3	4034.9206
5.35	4010.71785
5.4	3984.76515
5.45	3962.6034
5.5	3940.44118
5.55	3918.27943
5.6	3892.90974
5.65	3868.41502
5.7	3844.50401
5.75	3817.38436
5.8	3787.05794
5.85	3758.18927
5.9	3728.44539
5.95	3697.53572
6.0	3666.33362
6.05	3637.17321
6.1	3609.17929
6.15	3585.55932
6.2	3560.48206
6.25	3534.23785
6.3	3513.24212
6.35	3494.57958
6.4	3473.00037
6.45	3453.17204
6.5	3431.30133
6.55	3409.43132
6.6	3383.18711
6.65	3354.0267
6.7	3328.94851
6.75	3304.4538
6.8	3281.70881
6.85	3256.92235
6.9	3235.05234
6.95	3212.89059
7.0	3190.43663
