V	uW
0.0	197.124959
0.05	20.4129956
0.1	6.99933435
0.15	4.95798349
0.2	3.50009623
0.25	3.79157063
0.3	1.93702317
0.35	3.55113411
0.4	5.78154049
0.45	9.09781375
0.5	13.6173412
0.55	20.3966338
0.6	28.6361501
0.65	38.6920365
0.7	51.4361345
0.75	68.8860528
0.8	88.1369051
0.85	111.071589
0.9	143.157478
0.95	174.324581
1.0	211.507955
1.05	255.265157
1.1	304.862537
1.15	361.914164
1.2	433.874404
1.25	507.419405
1.3	590.267591
1.35	682.624348
1.4	794.027641
1.45	906.869012
1.5	1029.80598
1.55	1161.16565
1.6	1365.58083
1.65	1481.93073
1.7	1638.2304
1.75	1804.44436
1.8	1995.15349
1.85	2173.90643
1.9	2361.99074
1.95	2556.19874
2.0	2784.23284
2.05	2989.81369
2.1	3187.5209
2.15	3373.56422
2.2	3540.94431
2.25	3707.15861
2.3	3848.29473
2.35	3973.1008
2.4	4087.70144
2.45	4198.8017
2.5	4291.82407
2.55	4370.55668
2.6	4445.20731
2.65	4518.69145
2.7	4579.92824
2.75	4639.99854
2.8	4688.98844
2.85	4744.10132
2.9	4789.88281
2.95	4830.41583
3.0	4869.4904
3.05	4910.31539
3.1	4942.10003
3.15	4973.3012
3.2	5002.46184
3.25	5026.08158
3.3	5052.61822
3.35	5071.57249
3.4	5092.85927
3.45	5115.60403
3.5	5133.68333
3.55	5150.88858
3.6	5171.88339
3.65	5187.92216
3.7	5204.83451
3.75	5218.24928
3.8	5229.9127
3.85	5245.6595
3.9	5257.32338
3.95	5263.7388
4.0	5278.31912
4.05	5285.02557
4.1	5287.65051
4.15	5298.14838
4.2	5298.14838
4.25	5300.77238
4.3	5299.8974
4.35	5297.85687
4.4	5298.14838
4.45	5295.81541
4.5	5286.48403
4.55	5282.40157
4.6	5274.82014
4.65	5261.69734
4.7	5251.78295
4.75	5236.62008
4.8	5222.03976
4.85	5208.04292
4.9	5190.54616
4.95	5172.75836
5.0	5155.55404
