V	%
0.024	0.0
0.028	2.3638071103e-07
0.032	2.14901321843e-07
0.036	1.80497631593e-06
0.04	2.68598480072e-06
0.044	3.99675036559e-06
0.048	5.82322098511e-06
0.052	8.65960848314e-06
0.056	1.19042728727e-05
0.06	1.68034956509e-05
0.064	2.03274851624e-05
0.068	2.53986353173e-05
0.072	3.24681238528e-05
0.076	3.88714847996e-05
0.08	4.86054651785e-05
0.084	5.94997928795e-05
0.088	7.20272143471e-05
0.092	8.73480532172e-05
0.096	0.000104925077589
0.1	0.000124736880983
0.104	0.000147299074257
0.108	0.00017463158364
0.112	0.000205337691596
0.116	0.000238343036979
0.12	0.000277472295505
0.124	0.000319459579613
0.128	0.000363788960806
0.132	0.000418325027003
0.136	0.000477008355859
0.14	0.000546499947693
0.144	0.000616829606903
0.148	0.000705080133711
0.152	0.000798874484629
0.156	0.000900447405022
0.16	0.00100911133465
0.164	0.00112731599243
0.168	0.00127336866148
0.172	0.00142769418726
0.176	0.00161120030614
0.18	0.00179431960559
0.184	0.00199265240692
0.188	0.00220144935454
0.192	0.00243588179873
0.196	0.00268963126261
0.2	0.00298738814929
0.204	0.00326683783277
0.208	0.00361938809463
0.212	0.00400614752213
0.216	0.00440915207795
0.22	0.00486769437433
0.224	0.00531961938831
0.228	0.0058443048061
0.232	0.00641678610669
0.236	0.00703236872443
0.24	0.00765670001671
0.244	0.00835656495009
0.248	0.00916119659366
0.252	0.00994043710965
0.256	0.0108788538408
0.26	0.0118810679461
0.264	0.0130059741898
0.268	0.0141210657474
0.272	0.0153050742526
0.276	0.0166057997956
0.28	0.0181416632318
0.284	0.0197812255575
0.288	0.0214047827738
0.292	0.0231491142078
0.296	0.0251484246119
0.3	0.0272448178011
0.304	0.0293800489343
0.308	0.0318607293364
0.312	0.0345739828595
0.316	0.0372616377577
0.32	0.0401088939631
0.324	0.0434855344011
0.328	0.046966721136
0.332	0.0509164409653
0.336	0.0546043345783
0.34	0.059048605876
0.344	0.0635099763566
0.348	0.068385851091
0.352	0.0737937665045
0.356	0.0792358706073
0.36	0.0851694036203
0.364	0.091624292374
0.368	0.0987372735351
0.372	0.105878014837
0.376	0.113875562651
0.38	0.121845359159
0.384	0.131492417942
0.388	0.141462108683
0.392	0.150769459883
0.396	0.161959206334
0.4	0.172443833944
0.404	0.184783115596
0.408	0.198342423508
0.412	0.21392088185
0.416	0.22935405204
0.42	0.245312835201
0.424	0.262053656812
0.428	0.27984574181
0.432	0.299216750794
0.436	0.319483078263
0.44	0.341512206833
0.444	0.363460024777
0.448	0.386803175679
0.452	0.414148276267
0.456	0.442301052509
0.46	0.467642001213
0.464	0.504118871154
0.468	0.534821633572
0.472	0.568288314431
0.476	0.607218513023
0.48	0.6423349455
0.484	0.685571598744
0.488	0.731101030995
0.492	0.77665157901
0.496	0.82436633926
0.5	0.87737308269
0.504	0.92787315061
0.508	0.989257172623
0.512	1.04712764344
0.516	1.11054722677
0.52	1.17739495584
0.524	1.24767059925
0.528	1.32336694408
0.532	1.40219159415
0.536	1.48763651792
0.54	1.57897363173
0.544	1.67371746419
0.548	1.76556853796
0.552	1.8650688866
0.556	1.98029525402
0.56	2.09035813351
0.564	2.20759871509
0.568	2.32464660008
0.572	2.45009311501
0.576	2.59413698031
0.58	2.72671788878
0.584	2.86555540775
0.588	3.02048368152
0.592	3.1752830856
0.596	3.35045849922
0.6	3.53840335865
0.604	3.73294706469
0.608	3.93096146352
0.612	4.1427530253
0.616	4.35818731508
0.62	4.58231947366
0.624	4.87172866655
0.628	5.08369042079
0.632	5.31842476276
0.636	5.58444186279
0.64	5.87982729226
0.644	6.1584010565
0.648	6.43250437078
0.652	6.7261878335
0.656	7.05732588198
0.66	7.36462945415
0.664	7.68895715341
0.668	8.0149886285
0.672	8.39911643188
0.676	8.79942036606
0.68	9.16120324008
0.684	9.59938664168
0.688	10.0326753427
0.692	10.4580902493
0.696	10.9439444547
0.7	11.4206483275
0.704	11.8918164959
0.708	12.3576668913
0.712	12.8307513395
0.716	13.4213091476
0.72	13.9512176773
0.724	14.4545214383
0.728	14.9525049861
0.732	15.4960305961
0.736	16.139578748
0.74	16.7016216502
0.744	17.3685788078
0.748	17.9523287068
0.752	18.6324816813
0.756	19.3330645675
0.76	20.0434356767
0.764	20.6763458844
0.768	21.4060840492
0.772	22.2205220487
0.776	22.9602615295
0.78	23.7040465365
0.784	24.5850993648
0.788	25.3801690887
0.792	25.957747749
0.796	26.9881878963
0.8	27.711118152
0.804	28.6219593111
0.808	29.3712763621
0.812	30.2482860623
0.816	31.0882611359
0.82	32.1714847187
0.824	33.0180546506
0.828	33.9048501336
0.832	34.7292918893
0.836	35.6343854713
0.84	36.4024341276
0.844	37.5475828538
0.848	38.6576218158
0.852	39.5803841468
0.856	40.642535005
0.86	41.8932432817
0.864	43.3422871449
0.868	45.0090479124
0.872	46.7592321447
0.876	49.0298894545
0.88	51.1570954614
0.884	53.4904349099
0.888	56.1361643937
0.892	59.7233073306
0.896	63.561197334
0.9	68.3468868471
0.904	71.4771349716
0.908	76.1119437482
0.912	79.7033329773
0.916	83.4052259337
0.92	87.5746321677
0.924	90.4009971456
0.928	93.6778700379
0.932	95.3800660779
0.936	97.0440101481
0.94	97.3840143352
0.944	98.200054255
0.948	98.3955444092
0.952	98.9608271654
0.956	99.1287132651
0.96	99.4134609606
0.964	98.9247010763
0.968	99.0522198433
0.972	99.3879630131
0.976	99.3815958888
0.98	99.6535992384
0.984	99.9107327822
0.988	99.9808691768
0.992	99.7364892347
0.996	100.0
