V	%
0	0.0
0.004	5.75323257609e-06
0.008	0.000154882523541
0.012	0.000858641699742
0.016	0.00279267962842
0.02	0.00695361389846
0.024	0.0146242209609
0.028	0.027051330514
0.032	0.0462708139138
0.036	0.0740872321427
0.04	0.113023099363
0.044	0.16401835547
0.048	0.232060548812
0.052	0.318735367667
0.056	0.426265989329
0.06	0.559314312375
0.064	0.71506510449
0.068	0.903615024042
0.072	1.13203759411
0.076	1.38560238809
0.08	1.68757568313
0.084	2.03981897792
0.088	2.43649510838
0.092	2.89516598971
0.096	3.39535135191
0.1	3.96467718487
0.104	4.59187122972
0.108	5.28337519225
0.112	6.03818183893
0.116	6.8701803722
0.12	7.78606411849
0.124	8.78960392904
0.128	9.83551520291
0.132	10.9308406502
0.136	12.1743109237
0.14	13.4173627354
0.144	14.8158552355
0.148	16.2428378323
0.152	17.7787816027
0.156	19.4251848086
0.16	21.1700554268
0.164	23.0028912967
0.168	24.9786754561
0.172	27.024937307
0.176	29.2016465505
0.18	31.400349602
0.184	33.751499585
0.188	36.1381335623
0.192	38.5207702643
0.196	41.0763494441
0.2	43.7333855441
0.204	46.5503627505
0.208	49.2128943876
0.212	51.8899284247
0.216	54.9518198131
0.22	57.5668697017
0.224	60.1694215589
0.228	63.0433934835
0.232	65.6934356858
0.236	67.9421194993
0.24	70.1758090347
0.244	72.1680899828
0.248	74.2153439887
0.252	75.9997017062
0.256	77.469669685
0.26	78.7661949093
0.264	79.4839387101
0.268	79.9912459393
0.272	80.6959913331
0.276	80.798466198
0.28	81.0088855765
0.284	81.1368396868
0.288	80.6914994131
0.292	80.6730025046
0.296	80.5550502777
0.3	80.0602354476
0.304	80.1137015482
0.308	79.5819043631
0.312	79.5249298022
0.316	79.2834981921
0.32	79.0835810727
0.324	79.0445973135
0.328	79.200532548
0.332	79.1275687874
0.336	79.3734750257
0.34	79.7423488095
0.344	80.1497003446
0.348	80.7784681622
0.352	81.3427671453
0.356	82.0395179886
0.36	82.7382645052
0.364	83.579953679
0.368	84.21872338
0.372	84.957954882
0.376	85.5872345374
0.38	86.2474862085
0.384	86.9822200594
0.388	87.5930086361
0.392	88.0988203703
0.396	88.7260927915
0.4	89.4778165938
0.404	89.9901275808
0.408	90.3924925511
0.412	90.6104062031
0.416	91.0222611202
0.42	91.5180709709
0.424	92.1263633998
0.428	92.588187518
0.432	92.8590957476
0.436	93.187473084
0.44	93.5983215185
0.444	94.3480495487
0.448	94.5834708196
0.452	94.8513709647
0.456	95.3062127461
0.46	95.3576830746
0.464	95.5301309075
0.468	95.9644628153
0.472	96.0734311033
0.476	96.2228729147
0.48	96.4113043152
0.484	96.714697051
0.488	97.0490674348
0.492	97.3129817666
0.496	97.4044424357
0.5	97.3554625241
0.504	97.5873753348
0.508	97.5998790971
0.512	97.6363552464
0.516	98.3096283474
0.52	98.36509605
0.524	98.2941222316
0.528	98.6180019171
0.532	98.6849841912
0.536	98.214659218
0.54	98.5390335482
0.544	98.6275034247
0.548	98.6220164841
0.552	98.5705288638
0.556	98.9463789571
0.56	98.9423761484
0.564	98.9158959539
0.568	99.2242811831
0.572	99.2662785602
0.576	99.2627707916
0.58	99.4817079217
0.584	99.4382145553
0.588	99.5761597787
0.592	99.7081111642
0.596	100.0
