V	MHz
-10.0	106.3473624
-9.99511599512	106.3472018
-9.99023199023	106.3460042
-9.98534798535	106.3456983
-9.98046398046	106.3453165
-9.97557997558	106.344087
-9.9706959707	106.3434461
-9.96581196581	106.3424561
-9.96092796093	106.3420469
-9.95604395604	106.3410911
-9.95115995116	106.3400056
-9.94627594628	106.3394607
-9.94139194139	106.3382244
-9.93650793651	106.3380379
-9.93162393162	106.3372143
-9.92673992674	106.3360853
-9.92185592186	106.3355423
-9.91697191697	106.3342977
-9.91208791209	106.3337886
-9.9072039072	106.3325982
-9.90231990232	106.3316195
-9.89743589744	106.3310386
-9.89255189255	106.329701
-9.88766788767	106.3293522
-9.88278388278	106.3282888
-9.8778998779	106.3274518
-9.87301587302	106.3270363
-9.86813186813	106.3257005
-9.86324786325	106.3252916
-9.85836385836	106.3242399
-9.85347985348	106.3231524
-9.8485958486	106.3228296
-9.84371184371	106.3219957
-9.83882783883	106.3214758
-9.83394383394	106.3201653
-9.82905982906	106.3194227
-9.82417582418	106.3187701
-9.81929181929	106.3177854
-9.81440781441	106.3172937
-9.80952380952	106.3161535
-9.80463980464	106.3153086
-9.79975579976	106.3149431
-9.79487179487	106.3138068
-9.78998778999	106.3134115
-9.7851037851	106.3122235
-9.78021978022	106.3111974
-9.77533577534	106.3106927
-9.77045177045	106.3096066
-9.76556776557	106.3092334
-9.76068376068	106.3081115
-9.7557997558	106.3069881
-9.75091575092	106.3064869
-9.74603174603	106.3053333
-9.74114774115	106.3048922
-9.73626373626	106.3038763
-9.73137973138	106.3029159
-9.7264957265	106.3023884
-9.72161172161	106.3013017
-9.71672771673	106.3009202
-9.71184371184	106.2999039
-9.70695970696	106.2989475
-9.70207570208	106.2985505
-9.69719169719	106.2974643
-9.69230769231	106.2970969
-9.68742368742	106.295988
-9.68253968254	106.2950759
-9.67765567766	106.2947682
-9.67277167277	106.2935801
-9.66788766789	106.293063
-9.663003663	106.2917303
-9.65811965812	106.2904793
-9.65323565324	106.2901359
-9.64835164835	106.2892739
-9.64346764347	106.288881
-9.63858363858	106.2878754
-9.6336996337	106.2866719
-9.62881562882	106.2862864
-9.62393162393	106.2854799
-9.61904761905	106.2850534
-9.61416361416	106.2838825
-9.60927960928	106.2829945
-9.6043956044	106.2825882
-9.59951159951	106.281428
-9.59462759463	106.2808976
-9.58974358974	106.2799114
-9.58485958486	106.2789427
-9.57997557998	106.2784059
-9.57509157509	106.2772731
-9.57020757021	106.2769577
-9.56532356532	106.276048
-9.56043956044	106.2748323
-9.55555555556	106.2742818
-9.55067155067	106.2733717
-9.54578754579	106.272962
-9.5409035409	106.2718125
-9.53601953602	106.270676
-9.53113553114	106.2703886
-9.52625152625	106.2692551
-9.52136752137	106.2687114
-9.51648351648	106.2679195
-9.5115995116	106.2669596
-9.50671550672	106.2665016
-9.50183150183	106.2653116
-9.49694749695	106.2648363
-9.49206349206	106.2637634
-9.48717948718	106.2626378
-9.4822954823	106.2622872
-9.47741147741	106.2611852
-9.47252747253	106.2607302
-9.46764346764	106.2597605
-9.46275946276	106.2587431
-9.45787545788	106.2584443
-9.45299145299	106.2573696
-9.44810744811	106.2568278
-9.44322344322	106.2555833
-9.43833943834	106.2546025
-9.43345543346	106.2542051
-9.42857142857	106.2530127
-9.42368742369	106.2526055
-9.4188034188	106.2520105
-9.41391941392	106.2508382
-9.40903540904	106.2501774
-9.40415140415	106.2490392
-9.39926739927	106.2487852
-9.39438339438	106.2477166
-9.3894993895	106.2463716
-9.38461538462	106.2458893
-9.37973137973	106.24489
-9.37484737485	106.2446411
-9.36996336996	106.2433519
-9.36507936508	106.2425187
-9.3601953602	106.2419843
-9.35531135531	106.240965
-9.35042735043	106.2400882
-9.34554334554	106.2396472
-9.34065934066	106.2384442
-9.33577533578	106.2380148
-9.33089133089	106.2375177
-9.32600732601	106.2363949
-9.32112332112	106.235919
-9.31623931624	106.2348938
-9.31135531136	106.2345545
-9.30647130647	106.2334173
-9.30158730159	106.2323086
-9.2967032967	106.2318927
-9.29181929182	106.2311171
-9.28693528694	106.2307923
-9.28205128205	106.2297766
-9.27716727717	106.2287633
-9.27228327228	106.2281881
-9.2673992674	106.2269854
-9.26251526252	106.2263866
-9.25763125763	106.2257556
-9.25274725275	106.2247995
-9.24786324786	106.224295
-9.24297924298	106.2233555
-9.2380952381	106.2229092
-9.23321123321	106.221505
